session_id,variant,dataset,round,client_id,train_loss,num_examples,training_time_s,active_classes,cpu_percent,ram_used_mb,cpu_temp_c
baseline_20260424_201227,baseline,MHEALTH,1,0,0.020266184117645025,312,17.93,12,83.6,1039.4,69.6
baseline_20260424_201227,baseline,MHEALTH,1,1,0.023805339355021715,312,17.82,12,83.2,1047.2,62.8
baseline_20260424_201227,baseline,MHEALTH,1,2,0.030169222503900528,312,17.74,12,83.6,1034.2,64.8
baseline_20260424_201227,baseline,MHEALTH,1,3,0.030896183801814914,312,19.27,12,83.9,1021.7,60.9
baseline_20260424_201227,baseline,MHEALTH,1,4,0.014955950900912285,276,17.89,12,83.3,1081.2,66.2
baseline_20260424_201227,baseline,MHEALTH,1,5,0.03680742299184203,276,19.08,12,83.8,1008.3,60.9
baseline_20260424_201227,baseline,MHEALTH,1,6,0.022326348116621375,276,19.05,12,83.8,1043.5,60.4
baseline_20260424_201227,baseline,MHEALTH,1,7,0.016731583862565458,288,19.29,12,83.4,1022.4,61.8
baseline_20260424_201227,baseline,MHEALTH,1,8,0.034277152735739946,312,19.09,12,83.9,1063.4,60.4
baseline_20260424_201227,baseline,MHEALTH,1,9,0.034451283514499664,312,17.87,12,83.3,964.9,58.9
baseline_20260424_201227,baseline,MHEALTH,2,0,0.028997782268561423,312,18.04,12,83.2,1077.4,71.6
baseline_20260424_201227,baseline,MHEALTH,2,1,0.026923304423689842,312,18.1,12,82.8,1054.2,62.8
baseline_20260424_201227,baseline,MHEALTH,2,2,0.028765306691639125,312,17.85,12,83.4,1045.6,65.2
baseline_20260424_201227,baseline,MHEALTH,2,3,0.030090554850175977,312,19.08,12,83.7,1051.8,61.8
baseline_20260424_201227,baseline,MHEALTH,2,4,0.028547973022796214,276,17.89,12,83.5,1057.1,66.7
baseline_20260424_201227,baseline,MHEALTH,2,5,0.01716210914310068,276,19.13,12,83.7,1016.9,63.8
baseline_20260424_201227,baseline,MHEALTH,2,6,0.03144827298820019,276,19.01,12,83.7,1043.6,61.8
baseline_20260424_201227,baseline,MHEALTH,2,7,0.026164471404626966,288,19.04,12,83.6,1025.0,62.8
baseline_20260424_201227,baseline,MHEALTH,2,8,0.02303746237885207,312,19.09,12,83.8,1058.4,60.9
baseline_20260424_201227,baseline,MHEALTH,2,9,0.018924590200185776,312,17.92,12,83.2,969.6,61.3
baseline_20260424_201227,baseline,MHEALTH,3,0,0.02889033907558769,312,17.93,12,83.6,1061.4,73.0
baseline_20260424_201227,baseline,MHEALTH,3,1,0.022016180853825063,312,17.91,12,83.4,1055.1,64.3
baseline_20260424_201227,baseline,MHEALTH,3,2,0.02868421724997461,312,18.18,12,82.5,1080.8,66.2
baseline_20260424_201227,baseline,MHEALTH,3,3,0.01831495575606823,312,19.41,12,83.2,1022.4,63.3
baseline_20260424_201227,baseline,MHEALTH,3,4,0.02524166228249669,276,17.94,12,83.2,1088.2,70.1
baseline_20260424_201227,baseline,MHEALTH,3,5,0.021699354285374284,276,19.2,12,83.7,1047.8,65.2
baseline_20260424_201227,baseline,MHEALTH,3,6,0.0203939558705315,276,18.9,12,83.7,1023.5,63.3
baseline_20260424_201227,baseline,MHEALTH,3,7,0.021967313368804753,288,19.0,12,83.8,1052.5,64.3
baseline_20260424_201227,baseline,MHEALTH,3,8,0.028040452860295773,312,19.24,12,83.4,1067.4,62.3
baseline_20260424_201227,baseline,MHEALTH,3,9,0.029775718227028847,312,17.91,12,83.5,972.5,62.8
baseline_20260424_201227,baseline,MHEALTH,4,0,0.012967808812391013,312,18.08,12,83.2,1079.7,73.0
baseline_20260424_201227,baseline,MHEALTH,4,1,0.018836452974937856,312,17.95,12,83.5,1057.2,65.7
baseline_20260424_201227,baseline,MHEALTH,4,2,0.020868578925728798,312,18.16,12,82.5,1043.9,66.2
baseline_20260424_201227,baseline,MHEALTH,4,3,0.019764724012929946,312,19.24,12,83.8,1054.9,63.8
baseline_20260424_201227,baseline,MHEALTH,4,4,0.02640681865159422,276,18.09,12,82.8,1090.4,68.7
baseline_20260424_201227,baseline,MHEALTH,4,5,0.028854560223408043,276,19.02,12,83.7,1052.6,65.2
baseline_20260424_201227,baseline,MHEALTH,4,6,0.022712744306772947,276,19.08,12,83.5,1045.3,64.8
baseline_20260424_201227,baseline,MHEALTH,4,7,0.009313828719314188,288,19.1,12,83.8,1029.0,64.8
baseline_20260424_201227,baseline,MHEALTH,4,8,0.014623909955844283,312,19.15,12,83.1,1056.3,63.3
baseline_20260424_201227,baseline,MHEALTH,4,9,0.019256577943451703,312,17.81,12,83.4,972.5,63.8
baseline_20260424_201227,baseline,MHEALTH,5,0,0.013681052252650261,312,17.94,12,83.6,1090.7,72.5
baseline_20260424_201227,baseline,MHEALTH,5,1,0.019379777426365763,312,17.73,12,83.5,1089.0,64.8
baseline_20260424_201227,baseline,MHEALTH,5,2,0.02817931491881609,312,17.88,12,83.6,1049.9,67.2
baseline_20260424_201227,baseline,MHEALTH,5,3,0.024244430009275675,312,19.07,12,83.6,1032.7,64.8
baseline_20260424_201227,baseline,MHEALTH,5,4,0.0200434613507241,276,17.85,12,83.6,1054.7,70.1
baseline_20260424_201227,baseline,MHEALTH,5,5,0.015240091655869037,276,19.06,12,83.8,1024.7,65.7
baseline_20260424_201227,baseline,MHEALTH,5,6,0.028026645071804523,276,19.36,12,82.6,1047.6,63.8
baseline_20260424_201227,baseline,MHEALTH,5,7,0.01781812944682315,288,19.02,12,83.9,1064.5,64.8
baseline_20260424_201227,baseline,MHEALTH,5,8,0.03228237573057413,312,19.07,12,83.6,1042.0,64.8
baseline_20260424_201227,baseline,MHEALTH,5,9,0.029431753093376756,312,17.91,12,83.3,966.8,63.3
baseline_20260424_201227,baseline,MHEALTH,6,0,0.025096593075431883,312,17.99,12,83.2,1055.2,73.0
baseline_20260424_201227,baseline,MHEALTH,6,1,0.034081571735441685,312,17.93,12,83.5,1089.2,66.2
baseline_20260424_201227,baseline,MHEALTH,6,2,0.030282406602054834,312,17.85,12,83.4,1056.7,68.7
baseline_20260424_201227,baseline,MHEALTH,6,3,0.016816337854834273,312,19.07,12,83.9,1053.9,64.3
baseline_20260424_201227,baseline,MHEALTH,6,4,0.014120184525381774,276,18.0,12,83.3,1089.8,71.1
baseline_20260424_201227,baseline,MHEALTH,6,5,0.02274955838220194,276,19.07,12,83.9,1053.1,66.7
baseline_20260424_201227,baseline,MHEALTH,6,6,0.019922367588151246,276,19.09,12,83.6,1045.5,65.2
baseline_20260424_201227,baseline,MHEALTH,6,7,0.01866703829728067,288,19.05,12,83.7,1060.4,65.7
baseline_20260424_201227,baseline,MHEALTH,6,8,0.03441151790320873,312,19.21,12,83.6,1071.2,64.3
baseline_20260424_201227,baseline,MHEALTH,6,9,0.02589656598865986,312,17.88,12,83.2,993.5,62.8
baseline_20260424_201227,baseline,MHEALTH,7,0,0.010705920052714646,312,17.95,12,83.3,1076.2,74.0
baseline_20260424_201227,baseline,MHEALTH,7,1,0.009808593487832695,312,17.78,12,83.2,1067.6,66.2
baseline_20260424_201227,baseline,MHEALTH,7,2,0.01879325177287683,312,18.15,12,83.4,1085.4,69.1
baseline_20260424_201227,baseline,MHEALTH,7,3,0.01151457754895091,312,19.14,12,83.8,1055.7,65.7
baseline_20260424_201227,baseline,MHEALTH,7,4,0.013645796803757548,276,17.95,12,83.4,1077.2,70.6
baseline_20260424_201227,baseline,MHEALTH,7,5,0.011156574182678014,276,19.13,12,83.9,1035.0,66.2
baseline_20260424_201227,baseline,MHEALTH,7,6,0.018697600055020303,276,19.11,12,83.7,1046.4,65.7
baseline_20260424_201227,baseline,MHEALTH,7,7,0.016875597997568548,288,19.07,12,83.7,1057.2,66.2
baseline_20260424_201227,baseline,MHEALTH,7,8,0.0324777327477932,312,19.37,12,82.5,1034.3,64.3
baseline_20260424_201227,baseline,MHEALTH,7,9,0.02307735860813409,312,17.82,12,83.4,978.4,64.8
baseline_20260424_201227,baseline,MHEALTH,8,0,0.01924684434197843,312,18.12,12,82.2,1045.0,72.5
baseline_20260424_201227,baseline,MHEALTH,8,1,0.01997305132681504,312,17.99,12,83.3,1052.7,65.2
baseline_20260424_201227,baseline,MHEALTH,8,2,0.018562584300525486,312,17.81,12,83.5,1089.0,67.2
baseline_20260424_201227,baseline,MHEALTH,8,3,0.020572839304804802,312,19.24,12,83.6,1052.5,65.2
baseline_20260424_201227,baseline,MHEALTH,8,4,0.031138344202190638,276,17.96,12,83.3,1062.8,70.1
baseline_20260424_201227,baseline,MHEALTH,8,5,0.031601857859641314,276,19.11,12,83.6,1046.7,65.7
baseline_20260424_201227,baseline,MHEALTH,8,6,0.02650694875046611,276,19.08,12,83.8,1047.6,63.8
baseline_20260424_201227,baseline,MHEALTH,8,7,0.026770142518216744,288,18.94,12,83.8,1034.0,65.2
baseline_20260424_201227,baseline,MHEALTH,8,8,0.03300422476604581,312,19.39,12,82.8,1079.0,63.8
baseline_20260424_201227,baseline,MHEALTH,8,9,0.02688818401657045,312,18.04,12,83.2,988.3,64.3
baseline_20260424_201227,baseline,MHEALTH,9,0,0.015460903756320477,312,17.85,12,83.4,1077.5,73.5
baseline_20260424_201227,baseline,MHEALTH,9,1,0.025063178036361933,312,17.77,12,83.7,1062.4,63.8
baseline_20260424_201227,baseline,MHEALTH,9,2,0.022150087461341172,312,17.89,12,83.3,1053.7,65.7
baseline_20260424_201227,baseline,MHEALTH,9,3,0.01627822668524459,312,19.55,12,82.6,1023.6,64.3
baseline_20260424_201227,baseline,MHEALTH,9,4,0.01849825218960177,276,17.87,12,83.4,1091.7,68.7
baseline_20260424_201227,baseline,MHEALTH,9,5,0.018052171188173816,276,19.12,12,83.7,1049.2,64.8
baseline_20260424_201227,baseline,MHEALTH,9,6,0.024112679879181087,276,19.31,12,82.7,1032.4,64.3
baseline_20260424_201227,baseline,MHEALTH,9,7,0.025990965717937797,288,19.04,12,83.8,1023.6,63.8
baseline_20260424_201227,baseline,MHEALTH,9,8,0.0176628110348247,312,19.24,12,83.6,1075.7,62.8
baseline_20260424_201227,baseline,MHEALTH,9,9,0.02419513853965327,312,17.83,12,83.6,985.2,62.8
baseline_20260424_201227,baseline,MHEALTH,10,0,0.026122046692762524,312,17.93,12,83.4,1065.6,73.0
baseline_20260424_201227,baseline,MHEALTH,10,1,0.016670329467160627,312,18.22,12,82.5,1076.6,65.7
baseline_20260424_201227,baseline,MHEALTH,10,2,0.009147328091785312,312,17.88,12,83.6,1071.2,68.2
baseline_20260424_201227,baseline,MHEALTH,10,3,0.02403999282978475,312,19.05,12,83.8,1059.7,64.3
baseline_20260424_201227,baseline,MHEALTH,10,4,0.015608638408593833,276,18.09,12,82.6,1065.4,71.1
baseline_20260424_201227,baseline,MHEALTH,10,5,0.024208449583966285,276,19.11,12,83.6,1023.0,65.2
baseline_20260424_201227,baseline,MHEALTH,10,6,0.029567785561084747,276,19.14,12,83.6,1050.2,65.7
baseline_20260424_201227,baseline,MHEALTH,10,7,0.02321817388292402,288,19.34,12,82.7,1029.6,65.2
baseline_20260424_201227,baseline,MHEALTH,10,8,0.026275510899722576,312,19.07,12,83.7,1052.6,65.2
baseline_20260424_201227,baseline,MHEALTH,10,9,0.0175719452672638,312,18.08,12,82.5,994.1,64.3
baseline_20260424_210558,baseline,MHEALTH,1,0,0.03532983735203743,312,17.86,12,83.3,1053.6,72.5
baseline_20260424_210558,baseline,MHEALTH,1,1,0.029348759213462472,312,17.95,12,83.4,1048.4,64.8
baseline_20260424_210558,baseline,MHEALTH,1,2,0.029220121446996927,312,17.89,12,83.4,1048.9,66.7
baseline_20260424_210558,baseline,MHEALTH,1,3,0.016359664034098387,312,19.09,12,83.9,1016.5,64.8
baseline_20260424_210558,baseline,MHEALTH,1,4,0.0340938912704587,276,17.97,12,83.5,1063.7,69.6
baseline_20260424_210558,baseline,MHEALTH,1,5,0.021426770137622952,276,19.05,12,83.8,1001.4,65.7
baseline_20260424_210558,baseline,MHEALTH,1,6,0.02472404483705759,276,18.92,12,83.7,1037.5,64.3
baseline_20260424_210558,baseline,MHEALTH,1,7,0.030873446725308895,288,18.97,12,83.7,1041.6,64.8
baseline_20260424_210558,baseline,MHEALTH,1,8,0.026748359203338623,312,19.08,12,83.6,1066.9,63.8
baseline_20260424_210558,baseline,MHEALTH,1,9,0.0231574394274503,312,17.78,12,83.5,983.9,63.3
baseline_20260424_210558,baseline,MHEALTH,2,0,0.031222218181937933,312,18.2,12,82.5,1084.3,68.2
baseline_20260424_210558,baseline,MHEALTH,2,1,0.018581362906843424,312,18.01,12,83.1,1038.4,63.8
baseline_20260424_210558,baseline,MHEALTH,2,2,0.03349229879677296,312,17.88,12,83.6,1078.1,63.8
baseline_20260424_210558,baseline,MHEALTH,2,3,0.02438126364722848,312,19.1,12,83.8,1025.9,62.3
baseline_20260424_210558,baseline,MHEALTH,2,4,0.03065157006494701,276,17.9,12,83.3,1041.2,68.2
baseline_20260424_210558,baseline,MHEALTH,2,5,0.03643184993416071,276,19.03,12,83.9,1014.7,63.8
baseline_20260424_210558,baseline,MHEALTH,2,6,0.013882214552722871,276,20.15,12,80.2,1014.7,61.3
baseline_20260424_210558,baseline,MHEALTH,2,7,0.0253161306027323,288,19.05,12,83.8,1015.8,62.8
baseline_20260424_210558,baseline,MHEALTH,2,8,0.027220843825489283,312,19.11,12,83.5,1044.1,63.3
baseline_20260424_210558,baseline,MHEALTH,2,9,0.031690670643001795,312,17.95,12,83.1,961.5,61.3
baseline_20260424_210558,baseline,MHEALTH,3,0,0.01951575092971325,312,17.87,12,83.4,1087.9,71.1
baseline_20260424_210558,baseline,MHEALTH,3,1,0.025186175480484962,312,17.96,12,83.4,1056.9,63.8
baseline_20260424_210558,baseline,MHEALTH,3,2,0.007875965791754425,312,17.89,12,83.4,1059.4,64.8
baseline_20260424_210558,baseline,MHEALTH,3,3,0.019542796129826456,312,19.14,12,83.7,1058.2,62.8
baseline_20260424_210558,baseline,MHEALTH,3,4,0.03440018929541111,276,17.94,12,83.5,1052.2,69.6
baseline_20260424_210558,baseline,MHEALTH,3,5,0.03672599606215954,276,19.1,12,83.8,1035.4,65.7
baseline_20260424_210558,baseline,MHEALTH,3,6,0.021081887069158256,276,19.4,12,82.7,1053.0,63.3
baseline_20260424_210558,baseline,MHEALTH,3,7,0.027161704027093947,288,19.28,12,83.1,1053.5,64.8
baseline_20260424_210558,baseline,MHEALTH,3,8,0.02900265750940889,312,19.07,12,83.7,1044.2,62.3
baseline_20260424_210558,baseline,MHEALTH,3,9,0.03696933202445507,312,17.91,12,83.4,976.2,63.8
baseline_20260424_210558,baseline,MHEALTH,4,0,0.0272192073171027,312,17.89,12,83.5,1066.1,68.2
baseline_20260424_210558,baseline,MHEALTH,4,1,0.02380673843435943,312,17.95,12,83.4,1093.9,61.8
baseline_20260424_210558,baseline,MHEALTH,4,2,0.020317613845691085,312,18.29,12,82.4,1051.0,62.8
baseline_20260424_210558,baseline,MHEALTH,4,3,0.025290270044934005,312,19.12,12,83.6,1053.7,60.4
baseline_20260424_210558,baseline,MHEALTH,4,4,0.010665568377589807,276,18.01,12,83.0,1057.6,66.7
baseline_20260424_210558,baseline,MHEALTH,4,5,0.026676815235987306,276,19.08,12,83.9,1033.5,62.3
baseline_20260424_210558,baseline,MHEALTH,4,6,0.011884717911016196,276,19.06,12,83.6,1053.0,61.8
baseline_20260424_210558,baseline,MHEALTH,4,7,0.026047467486932874,288,19.4,12,82.5,1029.3,61.3
baseline_20260424_210558,baseline,MHEALTH,4,8,0.023396048927679658,312,19.34,12,82.5,1076.8,61.3
baseline_20260424_210558,baseline,MHEALTH,4,9,0.013371254433877766,312,18.14,12,82.4,989.9,60.9
baseline_20260424_210558,baseline,MHEALTH,5,0,0.020105824572965503,312,17.87,12,83.3,1059.6,70.1
baseline_20260424_210558,baseline,MHEALTH,5,1,0.02630899811629206,312,17.74,12,83.3,1067.7,63.8
baseline_20260424_210558,baseline,MHEALTH,5,2,0.023830025224015117,312,17.86,12,83.4,1058.7,64.8
baseline_20260424_210558,baseline,MHEALTH,5,3,0.019195461878553033,312,19.05,12,83.8,1017.5,61.3
baseline_20260424_210558,baseline,MHEALTH,5,4,0.02790730557171628,276,17.87,12,83.4,1056.3,68.2
baseline_20260424_210558,baseline,MHEALTH,5,5,0.02147772820899263,276,19.05,12,83.6,1049.2,64.3
baseline_20260424_210558,baseline,MHEALTH,5,6,0.021743276622146368,276,19.06,12,83.8,1026.9,62.3
baseline_20260424_210558,baseline,MHEALTH,5,7,0.012852036976255476,288,19.34,12,82.6,1055.1,63.3
baseline_20260424_210558,baseline,MHEALTH,5,8,0.0280426989775151,312,19.08,12,83.7,1048.1,61.8
baseline_20260424_210558,baseline,MHEALTH,5,9,0.012434827396646142,312,17.78,12,83.3,968.7,62.8
baseline_20260424_210558,baseline,MHEALTH,6,0,0.030088878702372313,312,17.85,12,83.5,1061.3,70.1
baseline_20260424_210558,baseline,MHEALTH,6,1,0.021174772875383496,312,18.13,12,82.5,1086.9,63.8
baseline_20260424_210558,baseline,MHEALTH,6,2,0.027800337818916887,312,18.08,12,82.6,1060.2,64.8
baseline_20260424_210558,baseline,MHEALTH,6,3,0.01444496470503509,312,19.2,12,83.7,1024.9,63.8
baseline_20260424_210558,baseline,MHEALTH,6,4,0.03462058864533901,276,17.97,12,83.2,1047.8,69.1
baseline_20260424_210558,baseline,MHEALTH,6,5,0.012608198332600296,276,19.32,12,82.7,1056.5,64.3
baseline_20260424_210558,baseline,MHEALTH,6,6,0.03410701407119632,276,19.1,12,83.6,1049.5,62.3
baseline_20260424_210558,baseline,MHEALTH,6,7,0.004265740048140287,288,19.15,12,83.9,1059.1,64.8
baseline_20260424_210558,baseline,MHEALTH,6,8,0.0139143894193694,312,19.12,12,83.9,1069.7,63.8
baseline_20260424_210558,baseline,MHEALTH,6,9,0.02745787554886192,312,17.96,12,83.1,995.5,63.3
baseline_20260424_210558,baseline,MHEALTH,7,0,0.018468359718099236,312,18.2,12,82.5,1047.8,71.1
baseline_20260424_210558,baseline,MHEALTH,7,1,0.033276467584073544,312,17.91,12,83.4,1084.6,65.2
baseline_20260424_210558,baseline,MHEALTH,7,2,0.024131401150953025,312,18.04,12,83.1,1080.0,66.2
baseline_20260424_210558,baseline,MHEALTH,7,3,0.026231611496768892,312,19.13,12,83.9,1025.8,63.3
baseline_20260424_210558,baseline,MHEALTH,7,4,0.030012648086994886,276,17.96,12,83.2,1055.0,69.6
baseline_20260424_210558,baseline,MHEALTH,7,5,0.011563434032723308,276,19.1,12,83.7,1030.2,65.7
baseline_20260424_210558,baseline,MHEALTH,7,6,0.004228203644743189,276,19.14,12,83.6,1048.0,64.3
baseline_20260424_210558,baseline,MHEALTH,7,7,0.018048029975034297,288,19.09,12,83.6,1058.7,64.8
baseline_20260424_210558,baseline,MHEALTH,7,8,0.032331212889403105,312,19.25,12,83.3,1046.5,63.3
baseline_20260424_210558,baseline,MHEALTH,7,9,0.026969274040311575,312,17.9,12,83.3,993.9,63.8
baseline_20260424_210558,baseline,MHEALTH,8,0,0.013559375773184001,312,18.0,12,83.4,1055.0,71.6
baseline_20260424_210558,baseline,MHEALTH,8,1,0.019100430188700557,312,17.9,12,83.6,1061.2,65.7
baseline_20260424_210558,baseline,MHEALTH,8,2,0.031093996949493885,312,17.82,12,83.4,1037.8,64.8
baseline_20260424_210558,baseline,MHEALTH,8,3,0.030915861949324608,312,19.3,12,83.2,1028.8,63.8
baseline_20260424_210558,baseline,MHEALTH,8,4,0.02139375131810084,276,18.18,12,82.5,1092.9,70.1
baseline_20260424_210558,baseline,MHEALTH,8,5,0.012157468649093062,276,19.23,12,83.5,1035.2,65.2
baseline_20260424_210558,baseline,MHEALTH,8,6,0.01999330846592784,276,19.48,12,82.9,1027.4,64.8
baseline_20260424_210558,baseline,MHEALTH,8,7,0.03342781588435173,288,19.19,12,83.1,1025.1,64.8
baseline_20260424_210558,baseline,MHEALTH,8,8,0.012034387327730656,312,19.03,12,83.8,1065.5,63.3
baseline_20260424_210558,baseline,MHEALTH,8,9,0.025606736540794373,312,17.92,12,83.1,996.9,63.8
baseline_20260424_210558,baseline,MHEALTH,9,0,0.01804828189779073,312,17.95,12,83.5,1084.0,69.1
baseline_20260424_210558,baseline,MHEALTH,9,1,0.024945800367277116,312,17.9,12,83.4,1060.9,62.8
baseline_20260424_210558,baseline,MHEALTH,9,2,0.014899993941071443,312,18.25,12,82.1,1080.0,62.3
baseline_20260424_210558,baseline,MHEALTH,9,3,0.025912616401910782,312,19.23,12,83.4,1018.0,60.9
baseline_20260424_210558,baseline,MHEALTH,9,4,0.01804667676333338,276,18.08,12,83.4,1089.1,68.2
baseline_20260424_210558,baseline,MHEALTH,9,5,0.016994033619994298,276,19.19,12,83.6,1026.2,63.3
baseline_20260424_210558,baseline,MHEALTH,9,6,0.026412121253088117,276,19.25,12,83.1,1052.2,61.8
baseline_20260424_210558,baseline,MHEALTH,9,7,0.026507411763304844,288,19.09,12,83.6,1034.2,62.3
baseline_20260424_210558,baseline,MHEALTH,9,8,0.01886573515366763,312,19.1,12,83.8,1053.9,60.9
baseline_20260424_210558,baseline,MHEALTH,9,9,0.017315418226644397,312,17.79,12,83.3,1001.2,61.3
baseline_20260424_210558,baseline,MHEALTH,10,0,0.01581191853620112,312,18.15,12,82.3,1072.1,69.1
baseline_20260424_210558,baseline,MHEALTH,10,1,0.02744052722118795,312,18.27,12,82.5,1065.8,63.3
baseline_20260424_210558,baseline,MHEALTH,10,2,0.02401423134142533,312,17.81,12,83.4,1059.6,63.8
baseline_20260424_210558,baseline,MHEALTH,10,3,0.010883032591664232,312,19.05,12,83.9,1030.5,62.8
baseline_20260424_210558,baseline,MHEALTH,10,4,0.01758157042786479,276,18.09,12,83.2,1057.3,68.2
baseline_20260424_210558,baseline,MHEALTH,10,5,0.026709338650107384,276,19.42,12,82.5,1051.5,64.3
baseline_20260424_210558,baseline,MHEALTH,10,6,0.010340160806663334,276,19.01,12,83.9,1057.1,63.3
baseline_20260424_210558,baseline,MHEALTH,10,7,0.01609529193956405,288,19.23,12,83.0,1030.7,62.8
baseline_20260424_210558,baseline,MHEALTH,10,8,0.025975730473874137,312,18.98,12,83.7,1073.3,62.3
baseline_20260424_210558,baseline,MHEALTH,10,9,0.031468858011066914,312,17.87,12,83.4,988.6,61.3
baseline_20260424_221512,baseline,MHEALTH,1,0,0.02624849509447813,312,18.0,12,83.2,1045.6,71.1
baseline_20260424_221512,baseline,MHEALTH,1,1,0.020716770319268107,312,17.81,12,83.4,1039.5,63.8
baseline_20260424_221512,baseline,MHEALTH,1,2,0.023295799735933542,312,18.03,12,82.5,1052.2,66.2
baseline_20260424_221512,baseline,MHEALTH,1,3,0.031931248027831316,312,19.19,12,83.6,1037.1,62.8
baseline_20260424_221512,baseline,MHEALTH,1,4,0.018263311474584043,276,17.95,12,83.3,1084.9,69.1
baseline_20260424_221512,baseline,MHEALTH,1,5,0.030932805500924587,276,19.13,12,83.8,1050.5,64.8
baseline_20260424_221512,baseline,MHEALTH,1,6,0.027844074997119606,276,19.09,12,83.7,1015.2,63.3
baseline_20260424_221512,baseline,MHEALTH,1,7,0.026430288213305175,288,19.37,12,82.9,1034.6,64.8
baseline_20260424_221512,baseline,MHEALTH,1,8,0.02804345148615539,312,19.0,12,83.6,1070.8,63.3
baseline_20260424_221512,baseline,MHEALTH,1,9,0.03910414781421423,312,17.87,12,83.4,964.9,63.8
baseline_20260424_221512,baseline,MHEALTH,2,0,0.02962016500532627,312,17.91,12,83.4,1074.3,72.5
baseline_20260424_221512,baseline,MHEALTH,2,1,0.025247920653782785,312,17.82,12,83.4,1065.2,65.7
baseline_20260424_221512,baseline,MHEALTH,2,2,0.022606583079323173,312,18.02,12,83.0,1051.3,67.2
baseline_20260424_221512,baseline,MHEALTH,2,3,0.013648837571963668,312,19.23,12,83.7,1046.0,64.8
baseline_20260424_221512,baseline,MHEALTH,2,4,0.020845237653702497,276,18.17,12,82.5,1073.1,70.6
baseline_20260424_221512,baseline,MHEALTH,2,5,0.022392087848857045,276,19.34,12,82.6,1050.2,65.7
baseline_20260424_221512,baseline,MHEALTH,2,6,0.03337079705670476,276,19.01,12,83.5,1026.0,65.2
baseline_20260424_221512,baseline,MHEALTH,2,7,0.021379938232712448,288,19.5,12,82.5,1051.1,66.2
baseline_20260424_221512,baseline,MHEALTH,2,8,0.0293302268255502,312,19.43,12,82.5,1080.9,62.3
baseline_20260424_221512,baseline,MHEALTH,2,9,0.02873001853004098,312,18.11,12,82.4,997.3,64.3
baseline_20260424_221512,baseline,MHEALTH,3,0,0.018740895320661366,312,18.01,12,83.2,1051.8,73.5
baseline_20260424_221512,baseline,MHEALTH,3,1,0.03044473845511675,312,18.01,12,83.2,1069.8,65.7
baseline_20260424_221512,baseline,MHEALTH,3,2,0.02013788733165711,312,17.98,12,83.3,1082.5,66.2
baseline_20260424_221512,baseline,MHEALTH,3,3,0.015095211449079216,312,19.32,12,82.6,1021.5,64.3
