session_id,variant,dataset,round,client_id,train_loss,num_examples,training_time_s,active_classes,cpu_percent,ram_used_mb,cpu_temp_c
baseline_20260624_184127,baseline,UCIHAR,1,0,0.04556150396207446,1254,173.0,6,91.4,1010.6,53.6
baseline_20260624_184127,baseline,UCIHAR,1,1,0.051893212273716925,684,35.85,6,85.7,1009.6,62.8
baseline_20260624_184127,baseline,UCIHAR,1,2,0.032876656483858825,666,35.87,6,86.2,1013.1,65.2
baseline_20260624_184127,baseline,UCIHAR,1,3,0.04876037589697675,738,42.43,6,76.3,959.6,62.3
baseline_20260624_184127,baseline,UCIHAR,1,4,0.044174794839429,936,49.89,6,88.5,1003.4,66.2
baseline_20260624_184127,baseline,UCIHAR,1,5,0.02759173550293781,1038,59.29,6,82.6,937.8,68.2
baseline_20260624_184127,baseline,UCIHAR,1,6,0.024723589742699496,864,48.26,6,83.5,962.0,65.7
baseline_20260624_184127,baseline,UCIHAR,1,7,0.02965815895451949,894,48.01,6,88.2,960.3,65.2
baseline_20260624_184127,baseline,UCIHAR,2,0,0.045007527462745965,1254,171.67,6,94.1,1011.4,55.0
baseline_20260624_184127,baseline,UCIHAR,2,1,0.0385672359727323,684,35.54,6,90.2,1011.3,66.2
baseline_20260624_184127,baseline,UCIHAR,2,2,0.03716867752373219,666,35.55,6,90.3,1018.1,67.2
baseline_20260624_184127,baseline,UCIHAR,2,3,0.03684654882685705,738,41.01,6,89.4,957.4,63.8
baseline_20260624_184127,baseline,UCIHAR,2,4,0.04962882326383676,936,49.61,6,91.7,999.2,69.6
baseline_20260624_184127,baseline,UCIHAR,2,5,0.0464204181189416,1038,59.11,6,92.0,960.4,69.1
baseline_20260624_184127,baseline,UCIHAR,2,6,0.036248104503521554,864,48.12,6,91.1,965.9,66.2
baseline_20260624_184127,baseline,UCIHAR,2,7,0.04765446924676116,894,47.79,6,91.3,959.8,67.2
baseline_20260624_184127,baseline,UCIHAR,2,8,0.05449292975078736,954,51.76,6,84.7,960.1,66.7
baseline_20260624_184127,baseline,UCIHAR,2,9,0.03814164445234033,834,46.36,6,80.9,966.0,64.3
baseline_20260624_184127,baseline,UCIHAR,3,0,0.04080056185883127,1254,172.55,6,94.2,1009.7,55.5
