session_id,variant,dataset,round,accuracy,loss,f1_macro,f1_weighted,precision_macro,recall_macro,specificity_macro,auc_macro,num_samples,num_classes,blockchain_blocks,round_wall_time_s,model_payload_bytes,ipfs_model_cid,ipfs_metrics_cid,ipfs_local_cid,ipfs_vote_cid,timestamp,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5
baseline_20260624_184127,baseline,UCIHAR,0,0.10892432982694265,1.7993139637277482,0.04976426412563651,0.04560229764360687,0.06478046809670114,0.12513120839733743,0.8263318876071524,0.4570625303644851,2947,6,4058,1782308503.06,3420320,QmWZ1wsCxxGuiv7hhkE6wxUZhwPWNxAqNbJiqjnifFsuwh,QmSuGMHeVJS1mpry1hcxJmLqt8wfECgDDM3DF25MJKWi35,,,2026-06-24T18:41:43.056405,0.1182108626198083,0.0,0.1803747221340108,0.0,0.0,0.0
baseline_20260624_184127,baseline,UCIHAR,1,0.7438072616219885,0.8816657193163608,0.7473644343661293,0.7520389868152844,0.8224928985042795,0.7334780863908472,0.948478816440056,0.9727662725489452,2947,6,4061,119.86,3420320,QmRnx4XhRMmc5RvYtYn4Y8Wf95XJZv4yCH93H531wvsmNW,QmUQ3CApwNBV8dZVPiimjHCuAoHi67kE6W29hxp9WxjFDt,QmWZUebSZFRm872481Qfsu9YNYkLxnnrEf398dn4LQSNUN,QmeiqZfaLLCKr6n4KrJEHK3F68JpSZSgTY8W6dWmBTn2zb,2026-06-24T18:47:41.879514,0.7740384615384616,0.7213541666666666,0.6897590361445783,0.6110689916603488,0.7186761229314421,0.9692898272552783
baseline_20260624_184127,baseline,UCIHAR,2,0.9090600610790635,0.37844497330011206,0.909027635319763,0.9097263663182559,0.9101039748866477,0.9099266924563395,0.9818823517828165,0.9884353895294834,2947,6,4064,74.77,3420320,QmTPUn41ByrVHDQb3vWAfe7NcLJ6by6UWotojAfQ1bD6yZ,QmcPgRLpFdXKWqDsBPoNDZdouEBDcoU8C4BgBikDA7ZHdB,QmNfUmsXeoSbVbSL6sh4zq7Qy4QPdNBxbDi92CReoQumDC,QmRDESTwe2jyGmrfvMpHWpQdPfEZPzBRnS8RVWwVNqj4pv,2026-06-24T18:52:33.709367,0.9612565445026178,0.9383783783783783,0.8923766816143498,0.8257425742574257,0.8373435996150145,0.9990680335507922
baseline_20260624_184127,baseline,UCIHAR,3,0.9043094672548354,0.32380402512214285,0.9047373039627017,0.9047484547296165,0.90549793349902,0.9053492029350788,0.9808755298529639,0.9891605846970891,2947,6,4067,63.65,3420320,QmbPgWaXzGTijKfX67SxJG4pPj51M7WofF8QvHcirgjcwc,Qmanevom3pEpgwrjPFZtZSS21pQe7Ksr6UXNaVY63J3AHk,QmUe3k9nCCPLSCSaXWvPcfjhiSpMATHoUgpgSo7CUjTEdM,QmT82cW2JzytERUtfgx5shwT9ZPdQsfBXYQqoGCeKq8seJ,2026-06-24T18:57:20.436046,0.970954356846473,0.9434782608695652,0.9076576576576577,0.7917948717948718,0.8145386766076421,1.0
baseline_20260624_184127,baseline,UCIHAR,4,0.9195792331184255,0.2900925557267793,0.9191102655842766,0.9197206802934411,0.9208566619882999,0.9195020253687529,0.9839286387415275,0.9886524093586487,2947,6,4070,80.07,3420320,QmUCL7D868RRjNA73LG1vGgBTqNFnMf1p63EAArhc5MPfw,QmXCZfv6f2TSGfzFAMANia1hiVKXSNmEUd5mmXB8dJ9NLs,QmQHurGFXqa2QHZojxvkzS1h2EK3qHf5iKTzAajdrizSso,Qmf3tpRSmxxCA8oQtPfZmQkvBp76ABUkW9MJ6WcWzvhuwA,2026-06-24T19:02:28.672321,0.9700722394220846,0.9392624728850325,0.9105322763306908,0.8336886993603412,0.8620378719567178,0.9990680335507922
baseline_20260624_184127,baseline,UCIHAR,5,0.9192399049881235,0.2883187344773336,0.9190086045225629,0.9194212101213598,0.9207897580083334,0.9196701563492681,0.9838662675544919,0.9869599864802668,2947,6,4073,79.86,3420320,Qmc7cugZzzynE7f3E9oC2uN7jLiB94zb3S2BRQhVrGBLQU,Qmd3A1MMX8MQsdAxaN2ixWjYUoWxPEXKirWPEtScJbnjbL,QmNT2dGPHQrkjfnyvyPJhSVTtorE92zs4MqZrLpzot2ta5,QmSJbNfByZ5w1AdHEsC4e9HszoSpFofiC3MaL4kK6nckqM,2026-06-24T19:07:30.500607,0.96794208893485,0.9431072210065645,0.9149888143176734,0.8313891834570519,0.8566243194192378,1.0
baseline_20260624_184127,baseline,UCIHAR,6,0.9124533423820834,0.28760321602780137,0.912632348587672,0.9126378305354969,0.9142669252090583,0.9134196778107629,0.9824970338639155,0.9881334537896579,2947,6,4076,71.82,3420320,QmYUY1sUJe13E17BqVD1sRUAT7xtoLy6ozYiBK9oqC45pa,QmVfsbAQ8ukwUMnLAp45VXUUhAzBVDZp6Awq1of26Xb8Wu,QmW5LGkQFgxWFszeepfMxikomUvGud1zRnBBwQADrE7dKP,QmcRxXrqqCK59mFu7SfwFH1hiu2W3BfKzLgsrCeFUV2tC8,2026-06-24T19:12:20.516895,0.96794208893485,0.9462129527991219,0.9186176142697882,0.8080168776371308,0.8350045578851413,1.0
baseline_20260624_184127,baseline,UCIHAR,7,0.9168646080760094,0.28465684562763,0.9169831247482975,0.9171437799253835,0.9183997333087514,0.9177945343982256,0.9833929315825142,0.9882509643943226,2947,6,4079,83.59,3420320,QmcsF5Dzysk7Ae2bo46h4LAuXDxMriB4zH41vN1kBaf5VH,QmU6mosP1KKVWKBdrERipeUNSJPVChttNby3DiDjnCPoVZ,QmRctgvQ8skAoCWWCtF3vfkvhxfBs917Wk1aYs4jcYxXof,Qmb6626TSyv61bbf87wDxwFu12bKNzy2rvq6UtXQRTEXxo,2026-06-24T19:17:28.465120,0.9699481865284975,0.9473684210526315,0.9175946547884187,0.8221757322175732,0.8448117539026629,1.0
baseline_20260624_184127,baseline,UCIHAR,8,0.9168646080760094,0.2787149250903662,0.9170853021853101,0.9172137281075583,0.9180923323477258,0.9180038152377991,0.9834021483174072,0.9891927946488247,2947,6,4082,67.75,3420320,QmYT1DDXpUWu8ammaMDQyFJjiezPzD2z37gGtQTC9EgJ4k,QmPVQFteTfvGKxvtK2CXcpNfBAvvcff7sffSZyP3DEH8h7,QmTBBjdgyzbAKJJ1r6GiYpqhFakUm6duXqLrF6y67wJ2Ps,QmSu9Co67QXPnPjiRpNq6tRLkv6rVPr3wXDeV4WTaD79xj,2026-06-24T19:22:20.129239,0.9699481865284975,0.9473684210526315,0.9175946547884187,0.8251028806584362,0.842497670083877,1.0
baseline_20260624_184127,baseline,UCIHAR,9,0.9175432643366135,0.2701428962594017,0.9173333656513606,0.9177520291752674,0.9189054909992104,0.9180346118491508,0.9835302422839569,0.9891519606267397,2947,6,4085,67.73,3420320,QmUrw5qtusxrFHx8P9NT1DR8SCCVtNsZNud56NnaXVtrg8,QmV4hxPaKxUVp78aAE7uxUykYv3PPZZnNAatDDs6v6PQat,QmedYhUNyuLnRoV7oWd9CEJTrYtPozbmc2SrCQ5bmcuSqC,QmXSCiTtiwiHqNvmtvTdhnfwXwaBhrcVzCm5v6Jewm6Y2r,2026-06-24T19:27:22.609497,0.9699481865284975,0.9422028353326063,0.912751677852349,0.8266384778012685,0.8524590163934426,1.0
