session_id,variant,round,event_type,block_type,duration_ms,extra_key,extra_value
baseline_20260424_201227,baseline,0,ipfs_upload,GLOBAL,79071.0,,
baseline_20260424_201227,baseline,0,gas_estimate,GLOBAL,1038.1,estimated_gas,226290
baseline_20260424_201227,baseline,0,gas_price_fetch,,279.0,fetched_gwei,6000000
baseline_20260424_201227,baseline,0,tx_send,GLOBAL,295.0,,
baseline_20260424_201227,baseline,0,tx_confirm,,176.0,block_number,45127143
baseline_20260424_201227,baseline,0,chain_verify,,647.0,valid,True
baseline_20260424_201227,baseline,0,round_overhead,,2640.0,,
baseline_20260424_201227,baseline,1,ipfs_upload,LOCAL,2039.0,,
baseline_20260424_201227,baseline,1,gas_estimate,LOCAL,611.7,estimated_gas,276473
baseline_20260424_201227,baseline,1,gas_price_fetch,,206.8,fetched_gwei,6000000
baseline_20260424_201227,baseline,1,tx_send,LOCAL,371.5,,
baseline_20260424_201227,baseline,1,ipfs_upload,VOTE,753.0,,
baseline_20260424_201227,baseline,1,gas_estimate,VOTE,612.6,estimated_gas,270438
baseline_20260424_201227,baseline,1,gas_price_fetch,,204.8,fetched_gwei,6000000
baseline_20260424_201227,baseline,1,tx_send,VOTE,507.3,,
baseline_20260424_201227,baseline,1,ipfs_upload,GLOBAL,69793.0,,
baseline_20260424_201227,baseline,1,gas_estimate,GLOBAL,1330.6,estimated_gas,251407
baseline_20260424_201227,baseline,1,gas_price_fetch,,205.5,fetched_gwei,6000000
baseline_20260424_201227,baseline,1,tx_send,GLOBAL,320.1,,
baseline_20260424_201227,baseline,1,tx_confirm,,146063.0,block_number,45127184
baseline_20260424_201227,baseline,1,tx_confirm,,144082.0,block_number,45127185
baseline_20260424_201227,baseline,1,tx_confirm,,3358.0,block_number,45127257
baseline_20260424_201227,baseline,1,chain_verify,,1233.0,valid,True
baseline_20260424_201227,baseline,1,round_overhead,,5423.0,,
baseline_20260424_201227,baseline,2,ipfs_upload,LOCAL,1427.0,,
baseline_20260424_201227,baseline,2,gas_estimate,LOCAL,1406.6,estimated_gas,276442
baseline_20260424_201227,baseline,2,gas_price_fetch,,435.9,fetched_gwei,6000000
baseline_20260424_201227,baseline,2,tx_send,LOCAL,1326.7,,
baseline_20260424_201227,baseline,2,ipfs_upload,VOTE,898.0,,
baseline_20260424_201227,baseline,2,gas_estimate,VOTE,1050.4,estimated_gas,270136
baseline_20260424_201227,baseline,2,gas_price_fetch,,201.0,fetched_gwei,6000000
baseline_20260424_201227,baseline,2,tx_send,VOTE,478.9,,
baseline_20260424_201227,baseline,2,ipfs_upload,GLOBAL,8369.0,,
baseline_20260424_201227,baseline,2,gas_estimate,GLOBAL,571.6,estimated_gas,251361
baseline_20260424_201227,baseline,2,gas_price_fetch,,205.4,fetched_gwei,6000000
baseline_20260424_201227,baseline,2,tx_send,GLOBAL,507.3,,
baseline_20260424_201227,baseline,2,tx_confirm,,65835.0,block_number,45127294
baseline_20260424_201227,baseline,2,tx_confirm,,63208.0,block_number,45127295
baseline_20260424_201227,baseline,2,tx_confirm,,3031.0,block_number,45127327
baseline_20260424_201227,baseline,2,chain_verify,,655.0,valid,True
baseline_20260424_201227,baseline,2,round_overhead,,4524.0,,
baseline_20260424_201227,baseline,3,ipfs_upload,LOCAL,1674.0,,
baseline_20260424_201227,baseline,3,gas_estimate,LOCAL,1433.4,estimated_gas,276352
baseline_20260424_201227,baseline,3,gas_price_fetch,,176.6,fetched_gwei,6000000
baseline_20260424_201227,baseline,3,tx_send,LOCAL,489.9,,
baseline_20260424_201227,baseline,3,ipfs_upload,VOTE,837.0,,
baseline_20260424_201227,baseline,3,gas_estimate,VOTE,737.5,estimated_gas,270347
baseline_20260424_201227,baseline,3,gas_price_fetch,,200.6,fetched_gwei,6000000
baseline_20260424_201227,baseline,3,tx_send,VOTE,308.4,,
baseline_20260424_201227,baseline,3,ipfs_upload,GLOBAL,7919.0,,
baseline_20260424_201227,baseline,3,gas_estimate,GLOBAL,571.0,estimated_gas,251377
baseline_20260424_201227,baseline,3,gas_price_fetch,,223.2,fetched_gwei,6000000
