run,variant,pinata_account,fl_round,block_type,expected_pin,pin_status,tx_hash,basescan_url,ipfs_hash,pinata_account_actual,date_pinned
baseline_20260626_123903,baseline,1,0,GLOBAL,round_0_global_model,success,0x85524020059eaf0dadd168273c1db7fd581f433f6f33f72684703b6190a92d8e,https://basescan.org/tx/0x85524020059eaf0dadd168273c1db7fd581f433f6f33f72684703b6190a92d8e,QmehLJeSXeRoSBKNKBh3f9k7qrhLK7ohCw7ZtRPZ7GLAwT,account_1,2026-06-26T07:39:10
baseline_20260626_123903,baseline,1,0,GLOBAL,round_0_global_metrics,success,0x85524020059eaf0dadd168273c1db7fd581f433f6f33f72684703b6190a92d8e,https://basescan.org/tx/0x85524020059eaf0dadd168273c1db7fd581f433f6f33f72684703b6190a92d8e,QmdCx87WRjucLBUH6ojzJjzvsTCMj8iYGPYbCdPXHpUcMM,account_1,2026-06-26T07:39:12
baseline_20260626_123903,baseline,1,1,LOCAL,round_1_local,success,0x3f724385542b7375c324b64b79f1c6aa88894931d2819943d0be3bbdd5f715ed,https://basescan.org/tx/0x3f724385542b7375c324b64b79f1c6aa88894931d2819943d0be3bbdd5f715ed,QmVaJnLdPeQncfjKnN7zRXKDPzrAHBknZrhhmdx9UeLpmT,account_1,2026-06-26T07:43:01
baseline_20260626_123903,baseline,1,1,VOTE,round_1_votes,success,0xde2cd95e07e0b1c4f8888edd36b25387e9e9e48a8919a3933bd29e1666b9bd85,https://basescan.org/tx/0xde2cd95e07e0b1c4f8888edd36b25387e9e9e48a8919a3933bd29e1666b9bd85,QmTsyhR1S6vBfXQd9PQKRq2msBG9j5qfX6Mf32nQ51HJa1,account_1,2026-06-26T07:43:05
baseline_20260626_123903,baseline,1,1,GLOBAL,round_1_global_model,success,0x356c13986c7dc8946b7420ce2e53133d81c88d011772aa08bcd2b26e034a7406,https://basescan.org/tx/0x356c13986c7dc8946b7420ce2e53133d81c88d011772aa08bcd2b26e034a7406,QmYcAJUJpR6XzEZNfgnxrytPC4Ad9rAKuVfw5SCj5HJKss,account_1,2026-06-26T07:44:06
baseline_20260626_123903,baseline,1,1,GLOBAL,round_1_global_metrics,success,0x356c13986c7dc8946b7420ce2e53133d81c88d011772aa08bcd2b26e034a7406,https://basescan.org/tx/0x356c13986c7dc8946b7420ce2e53133d81c88d011772aa08bcd2b26e034a7406,QmYA3yHPL9ZZiCUDqwaAUkYGzPvz6zbDoWfNaqjZboLp5G,account_1,2026-06-26T07:44:08
baseline_20260626_123903,baseline,1,2,LOCAL,round_2_local,success,0x62dcf96ffa394500cafb37a9b59de55a88a660e60a0190cbb73b53ae5158ea6b,https://basescan.org/tx/0x62dcf96ffa394500cafb37a9b59de55a88a660e60a0190cbb73b53ae5158ea6b,QmaVCZnNTT1ocFc3fCuDoJymy7HqnQVazZFRRF7rQcdnTo,account_1,2026-06-26T07:48:00
baseline_20260626_123903,baseline,1,2,VOTE,round_2_votes,success,0x764aab170ba9571715338b2fff26a0029c9ea5876c05f66fbb5eb840e24efe55,https://basescan.org/tx/0x764aab170ba9571715338b2fff26a0029c9ea5876c05f66fbb5eb840e24efe55,QmZSZuQzWZPm1fzcpAkGAqgM3dKHRKhvAFxjBNkZFBjhZG,account_1,2026-06-26T07:48:03
baseline_20260626_123903,baseline,1,2,GLOBAL,round_2_global_model,success,0xd7cdced3ec76c6a88ca18ac2954f242acc22c5e20b05953d56a17199b4a3998a,https://basescan.org/tx/0xd7cdced3ec76c6a88ca18ac2954f242acc22c5e20b05953d56a17199b4a3998a,QmbMEVMnB6jyt6fQRY1D1QFmRnPoRFXCwnFd2wZyfYQBfz,account_1,2026-06-26T07:49:08
baseline_20260626_123903,baseline,1,2,GLOBAL,round_2_global_metrics,success,0xd7cdced3ec76c6a88ca18ac2954f242acc22c5e20b05953d56a17199b4a3998a,https://basescan.org/tx/0xd7cdced3ec76c6a88ca18ac2954f242acc22c5e20b05953d56a17199b4a3998a,Qmahuf617tRCmKRqd3DxwYkv4bBT1SxQws9XWmkrArcGv8,account_1,2026-06-26T07:49:09
baseline_20260626_123903,baseline,1,3,LOCAL,round_3_local,success,0xc345abd9d4f91fa20e8253e5ddc87a3d589474c92e117cf47c4c9c922b4a4643,https://basescan.org/tx/0xc345abd9d4f91fa20e8253e5ddc87a3d589474c92e117cf47c4c9c922b4a4643,QmWADEeyDiewwMAnN5rpzRwCNSpXkY9FxTxBHmmN1KMnFA,account_1,2026-06-26T07:52:54
baseline_20260626_123903,baseline,1,3,VOTE,round_3_votes,success,0x0871096a1744b327f5c46be0f118d10a76305d01c455751aca20416befecf405,https://basescan.org/tx/0x0871096a1744b327f5c46be0f118d10a76305d01c455751aca20416befecf405,QmaypKNudW6DfZ5dSTMtQqoTrV8idWyidNQKQyVh3pKM6P,account_1,2026-06-26T07:52:56
baseline_20260626_123903,baseline,1,3,GLOBAL,round_3_global_model,success,0x50dbb3142c6355346e8b498024bb22ec29537d9762c6b655afe033807b130e9a,https://basescan.org/tx/0x50dbb3142c6355346e8b498024bb22ec29537d9762c6b655afe033807b130e9a,QmdfA43woGouM2STdNckhqjmpx76PGJPMft8JgH1DdfpbJ,account_1,2026-06-26T07:53:57
baseline_20260626_123903,baseline,1,3,GLOBAL,round_3_global_metrics,success,0x50dbb3142c6355346e8b498024bb22ec29537d9762c6b655afe033807b130e9a,https://basescan.org/tx/0x50dbb3142c6355346e8b498024bb22ec29537d9762c6b655afe033807b130e9a,QmdEvMYpZ6Knsgm71r2p4Aa3ycav5BLskXkgVPENGXxX9g,account_1,2026-06-26T07:53:59
baseline_20260626_123903,baseline,1,4,LOCAL,round_4_local,success,0x66052fc6551b422a0ad6e0d104740f57077e1de1b6e47e1cc16791dabff9c081,https://basescan.org/tx/0x66052fc6551b422a0ad6e0d104740f57077e1de1b6e47e1cc16791dabff9c081,QmWBDPtfF7MrHUGXFuAe7q795RtDHKmsEFKgmpFrVxtYPg,account_1,2026-06-26T07:57:51
baseline_20260626_123903,baseline,1,4,VOTE,round_4_votes,success,0x735e925156e63d803eedd95f9dc625595c56d3b69ac54f672d74b020f7cc04c6,https://basescan.org/tx/0x735e925156e63d803eedd95f9dc625595c56d3b69ac54f672d74b020f7cc04c6,QmT2vYr51k9qtRe7UJvGxhCPr8yQ2dzLeBEkdFHFgXqojj,account_1,2026-06-26T07:57:54
baseline_20260626_123903,baseline,1,4,GLOBAL,round_4_global_model,success,0xf0f9ed4442d70dd07c0cd8f77e070dda712ed56cfed96d17e4f9d227b623c801,https://basescan.org/tx/0xf0f9ed4442d70dd07c0cd8f77e070dda712ed56cfed96d17e4f9d227b623c801,QmQsPN9d1BhbYECehEeFdc6t6X9x385MtBSDue8TmX9hwX,account_1,2026-06-26T07:58:52
baseline_20260626_123903,baseline,1,4,GLOBAL,round_4_global_metrics,success,0xf0f9ed4442d70dd07c0cd8f77e070dda712ed56cfed96d17e4f9d227b623c801,https://basescan.org/tx/0xf0f9ed4442d70dd07c0cd8f77e070dda712ed56cfed96d17e4f9d227b623c801,QmRrkT4wPvgRZm5HrP2viicCEgGJnXvHVyWXtbsrhokbaU,account_1,2026-06-26T07:58:53
baseline_20260626_123903,baseline,1,5,LOCAL,round_5_local,success,0x607612f32736b46049ffdf1951dc61bfb92a9f7bb1f1d1faad14761492071de9,https://basescan.org/tx/0x607612f32736b46049ffdf1951dc61bfb92a9f7bb1f1d1faad14761492071de9,QmXxQvS3QddMm6MMMdqgtLM8XypDnYv5sVER3DjtYUTwhA,account_1,2026-06-26T08:02:42
baseline_20260626_123903,baseline,1,5,VOTE,round_5_votes,success,0xaeec71eb892c603c208835c9c4646f3faca2f921ac070af24c590d19c20d1b65,https://basescan.org/tx/0xaeec71eb892c603c208835c9c4646f3faca2f921ac070af24c590d19c20d1b65,QmdoQhz5j73NqnEKTjZ5kQ9THuFQUyQ4oxKVpEbkQRuYCg,account_1,2026-06-26T08:02:45
baseline_20260626_123903,baseline,1,5,GLOBAL,round_5_global_model,success,0x9c58fdff8ef4361972cc4784474656028ff47ab8dbd147227dac9cbe8c48860a,https://basescan.org/tx/0x9c58fdff8ef4361972cc4784474656028ff47ab8dbd147227dac9cbe8c48860a,QmbuLxrTXTPuUGY6ujWQVoxucKNaJmwzhtJh2HSjGfB4o3,account_1,2026-06-26T08:03:51
